JobTitle,BasePay,Overtimepay
PLUMBER,91188.3,45707.93
PLUMBER,60421.32,69.47
PLUMBER,90643.37,382.14
PLUMBER,90280.05,9866.3
PLUMBER,92142.01,74.93
PLUMBER,90643.35,10354.05
PLUMBER,88281.9,12784.55
PLUMBER,90098.44,1566.72
PLUMBER,89371.81,19379.89
PLUMBER,89371.8,13245.76
PLUMBER,89371.81,12397.67
PLUMBER,89735.1,7629.38
PLUMBER,90280.06,13010.93
PLUMBER,90597.94,6282.83
PLUMBER,91369.95,11876.53
PLUMBER,90531.71,5960.35
PLUMBER,89371.8,25742.79
PLUMBER,12715.5,22.71
PLUMBER,88645.25,31062.3
PLUMBER,89008.57,12159.22
PLUMBER,49181.75,1464.54
PLUMBER,90280.06,3303.72
PLUMBER,90280.05,20776.24
PLUMBER,91737.12,1658.72
PLUMBER,90280.06,13270.9
PLUMBER,88100.28,416.88
PLUMBER,43323.54,68.11
PLUMBER,90098.4,12261.38
PLUMBER,90098.4,5350.04
PLUMBER,90098.43,1106.91
PLUMBER,90461.7,4189.26
PLUMBER,89916.8,11580.2
PLUMBER,48318.9,3542.18
PLUMBER,89735.15,23659.68
PLUMBER,88281.94,18664.59
PLUMBER,89735.1,18426.13
PLUMBER,89735.1,1573.56
PLUMBER,80233.0,544.95
PLUMBER,89553.45,15599.19
PLUMBER,91551.62,4238.43
ENGINEER,120937.05,1242.71
GARDENER,60663.83,2639.77
GARDENER,59236.0,2016.81
GARDENER,54987.3,85.1
GARDENER,58528.0,5125.4
GARDENER,55291.56,4956.99
GARDENER,58292.0,1005.58
GARDENER,57581.79,178.77
GARDENER,56390.63,6490.66
GARDENER,50481.32,1096.97
GARDENER,58764.0,5043.16
GARDENER,58528.0,11744.09
GARDENER,56245.65,11325.25
GARDENER,56674.35,5033.23
GARDENER,59000.0,446.92
GARDENER,58292.0,670.38
GARDENER,25102.5,357.54
GARDENER,48502.11,1380.6
GARDENER,55354.7,5999.13
GARDENER,57442.03,10251.89
GARDENER,58528.0,4317.27
GARDENER,57492.52,2932.52
GARDENER,58406.79,1184.13
GARDENER,58401.1,762.49
GARDENER,58592.9,2830.68
GARDENER,54987.3,3708.49
GARDENER,54136.65,15943.03
GARDENER,58292.0,782.12
GARDENER,58174.0,73.68
